Titel,Path,Streetname,Postalcode,Location,Price,Rooms,Area
3 ½ Zimmer-Wohnung in Zurich mieten,/de/wohnung/wallisellenstrasse-481-8050-zurich/605443/,Wallisellenstrasse,8050,Zurich,1925,3 ½,NaN
2 ½ Zimmer-Wohnung in Uitikon mieten,/de/wohnung/8142-uitikon/605398/,no street available,8142,Uitikon,1697,2 ½,69 m²
1 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/birmensdorferstrasse-358-8055-zurich/605395/,Birmensdorferstrasse 358,8055,Zürich,1325,1 ½,NaN
2 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/scharenmoosstrasse-76-8052-zurich/605376/,schärenmoosstrasse 76,8052,Zürich,2770,2 ½,77 m²
3 ½ Zimmer-Wohnung in Zurich mieten,/de/wohnung/dufaux-strasse-10-8152-zurich/605340/,Dufaux Strasse 10,8152,Zurich,2530,3 ½,96 m²
4 ½ Zimmer-Wohnung in Adliswil mieten,/de/wohnung/austr-24-8134-adliswil/577122/,Austr. 24,8134,Adliswil,2900,4 ½,116 m²
2 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/turbinenstrasse-60-8005-zurich/605321/,Turbinenstrasse 60,8005,Zürich,2650,2 ½,68 m²
1 Zimmer-Wohnung in Zürich mieten,/de/wohnung/zurichbergstrasse-114-8044-zurich/605032/,Zürichbergstrasse 114,8044,Zürich,1310,1,26 m²
3 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/stauffacherstrasse-97-8004-zurich/605261/,Stauffacherstrasse 97,8004,Zürich,2700,3 ½,79 m²
4 Zimmer-Wohnung in Oberengstringen mieten,/de/wohnung/marzenbuhlstrasse-15b-8102-oberengstringen/605224/,Märzenbühlstrasse 15b,8102,Oberengstringen,2250,4,90 m²
2 ½ Zimmer-Wohnung in Zurich mieten,/de/wohnung/vulkanplatz-7-8048-zurich/605167/,Vulkanplatz 7,8048,Zurich,2265,2 ½,59 m²
1 ½ Zimmer-Wohnung in Wallisellen mieten,/de/wohnung/zwirnereistrasse-22-8304-wallisellen/605147/,Zwirnereistrasse 22,8304,Wallisellen,1244,1 ½,42 m²
2 ½ Zimmer-Wohnung in Bonstetten mieten,/de/wohnung/chapfstrasse-14-8906-bonstetten/583776/,Chapfstrasse 14,8906,Bonstetten,1530,2 ½,57 m²
